date,open,close,high,low,amount
2025-12-01,220.22,213.72,222.33,209.71,161967.0
2025-12-02,211.61,207.32,212.6,205.6,126444.0
2025-12-03,207.1,204.6,207.95,202.81,79331.0
2025-12-04,203.3,202.01,204.59,198.6,86068.0
2025-12-05,206.01,201.8,207.59,201.26,96530.0
2025-12-08,205.85,222.02,222.02,205.85,171447.0
2025-12-09,222.6,222.3,233.1,218.15,225481.0
2025-12-10,220.83,216.78,224.5,210.94,127689.0
2025-12-11,221.48,216.69,223.79,215.9,121178.0
2025-12-12,217.6,214.29,220.6,210.2,115262.0
2025-12-15,206.93,203.7,207.59,199.9,111924.0
2025-12-16,204.6,199.1,205.78,195.27,88691.0
2025-12-17,199.18,203.98,204.08,197.6,80254.0
2025-12-18,205.4,205.26,209.1,201.6,114508.0
2025-12-19,208.6,190.85,209.49,190.6,165541.0
2025-12-22,196.1,200.05,200.48,194.88,132656.0
2025-12-23,199.4,202.11,208.38,199.4,101075.0
2025-12-24,213.67,220.6,222.36,209.85,262851.0
2025-12-25,217.6,216.87,231.62,215.6,209875.0
2025-12-26,212.61,238.6,238.6,212.61,263128.0
2025-12-29,238.8,240.36,253.4,238.6,234265.0
2025-12-30,243.89,240.27,250.1,237.98,148628.0
2025-12-31,237.98,231.49,240.2,227.6,125035.0
2026-01-05,243.69,249.5,252.6,242.6,181996.0
2026-01-06,245.6,255.08,260.6,240.6,170856.0
2026-01-07,279.58,249.6,280.38,244.1,234553.0
2026-01-08,247.85,239.41,251.1,238.44,143625.0
2026-01-09,236.26,234.65,236.95,229.6,109165.0
2026-01-12,238.1,239.59,241.21,233.1,122735.0
2026-01-13,237.2,232.6,241.98,229.1,108422.0
2026-01-14,241.6,238.58,247.6,234.21,143117.0
2026-01-15,234.6,253.62,259.37,231.6,150194.0
2026-01-16,257.6,272.63,278.6,252.6,193335.0
2026-01-19,269.9,271.6,274.6,263.6,125138.0
2026-01-20,265.46,279.54,284.6,265.45,131270.0
2026-01-21,278.03,284.76,288.58,275.4,125690.0
2026-01-22,299.6,286.89,307.6,284.09,223705.0
2026-01-23,278.6,278.3,289.31,274.6,149624.0
2026-01-26,278.31,274.4,283.6,267.84,101993.0
2026-01-27,271.6,277.85,279.1,263.18,130176.0
2026-01-28,280.48,277.82,282.55,271.6,117968.0
2026-01-29,281.6,269.84,288.48,269.61,134556.0
2026-01-30,268.98,271.4,279.6,267.6,114216.0
2026-02-02,262.6,248.11,265.17,246.89,136890.0
2026-02-03,254.63,252.19,257.22,247.6,90879.0
2026-02-04,248.4,245.08,248.4,240.25,77220.0
2026-02-05,237.6,237.13,242.32,234.7,77260.0
2026-02-06,234.6,232.54,236.1,228.6,71713.0
2026-02-09,237.61,240.58,241.1,233.92,69647.0
2026-02-10,237.66,237.15,239.46,234.28,61375.0
2026-02-11,234.49,235.57,240.28,234.25,70052.0
2026-02-12,238.58,239.48,240.25,235.2,88461.0
2026-02-13,235.46,248.89,253.86,234.61,124868.0
2026-02-24,253.6,255.59,258.46,249.6,81434.0
2026-02-25,251.6,250.33,251.93,244.81,77285.0
2026-02-26,250.63,256.08,256.18,245.87,80829.0
2026-02-27,252.05,255.55,256.1,247.8,88511.0
2026-03-02,248.69,246.15,253.6,244.88,96825.0
2026-03-03,244.6,228.3,246.13,226.6,102945.0
2026-03-04,239.6,251.17,251.17,238.28,195654.0
2026-03-05,256.6,255.71,265.94,253.6,200279.0
2026-03-06,255.67,270.72,277.2,255.67,174103.0
2026-03-09,267.42,279.6,279.6,262.9,184769.0
2026-03-10,287.6,294.41,299.19,280.6,176652.0
2026-03-11,293.61,298.24,309.26,292.6,217879.0
2026-03-12,299.52,293.1,305.52,288.86,126989.0
2026-03-13,295.82,319.65,322.45,294.62,220302.0
2026-03-16,317.6,351.66,351.66,309.11,266265.0
2026-03-17,344.6,353.6,359.56,341.6,194094.0
2026-03-18,358.6,373.6,373.6,354.6,192483.0
2026-03-19,356.6,344.6,361.6,341.7,195161.0
2026-03-20,349.1,331.12,350.6,329.93,158800.0
2026-03-23,319.6,320.6,331.4,314.6,144681.0
2026-03-24,317.39,349.23,351.4,305.7,222428.0
2026-03-25,354.54,374.77,377.6,350.03,202217.0
2026-03-26,360.62,378.46,382.6,360.62,164537.0
2026-03-27,359.69,381.49,382.5,356.6,138054.0
2026-03-30,375.48,399.9,401.19,375.48,163010.0
2026-03-31,379.9,379.7,392.77,363.34,210721.0
2026-04-01,417.67,371.98,417.67,364.46,303740.0
2026-04-02,378.88,360.15,379.6,358.2,189726.0
2026-04-03,364.8,352.02,366.66,352.02,114756.0
2026-04-07,355.8,378.18,382.88,352.0,154318.0
2026-04-08,390.04,393.3,395.5,375.01,195237.0
2026-04-09,383.19,406.58,417.84,380.38,178215.0
2026-04-10,428.0,447.24,447.24,423.0,232257.0
2026-04-13,450.15,481.49,488.5,450.15,216110.0
2026-04-14,485.19,500.63,510.9,481.0,203781.0
2026-04-15,501.2,501.2,520.0,496.0,167001.0
2026-04-16,490.0,516.8,529.98,486.0,167202.0
2026-04-17,510.0,513.69,519.24,490.0,154793.0
2026-04-20,518.88,515.0,538.0,512.0,137146.0
2026-04-21,515.0,514.6,521.6,498.9,113103.0
2026-04-22,514.71,525.0,530.0,509.96,141662.0
2026-04-23,539.0,494.69,544.93,487.0,212498.0
2026-04-24,491.0,489.88,500.82,482.6,132576.0
2026-04-27,492.21,488.15,495.0,484.0,114372.0
2026-04-28,496.93,496.39,510.0,486.22,132252.0
2026-04-29,491.22,522.93,525.0,485.5,175813.0
2026-04-30,517.71,524.81,535.0,509.01,193544.0
2026-05-06,570.0,577.29,577.29,560.38,78830.0
2026-05-07,603.0,616.51,633.0,597.0,252913.0
2026-05-08,599.23,597.71,609.98,592.9,150563.0
2026-05-11,631.11,639.21,644.96,616.13,180515.0
2026-05-12,630.56,618.0,633.5,610.0,150166.0
2026-05-13,595.24,679.8,679.8,595.24,168739.0
2026-05-14,699.0,721.65,739.48,689.0,190782.0
2026-05-15,722.01,712.06,759.99,697.62,213475.0
2026-05-18,707.0,735.04,743.56,702.58,167160.0
2026-05-19,712.0,699.16,716.0,672.94,150562.0
2026-05-20,705.0,695.96,717.45,685.0,128465.0
2026-05-21,707.0,656.1,709.8,652.88,142761.0
2026-05-22,671.0,674.0,680.39,651.02,132272.0
2026-05-25,669.99,695.0,698.5,657.01,133567.0
2026-05-26,688.05,659.1,688.05,643.0,136401.0
2026-05-27,680.0,665.0,703.0,660.8,158845.0
2026-05-28,655.02,657.35,669.5,633.89,109700.0
2026-05-29,669.0,640.0,679.58,630.0,125845.0
2026-06-01,641.4,597.41,646.0,597.0,121728.0
2026-06-02,600.0,605.9,611.66,583.0,110274.0
