date,open,close,high,low,amount
2026-03-10,47.2,49.39,49.7,47.2,1814094.0
2026-03-11,49.45,50.17,50.88,49.28,1686484.0
2026-03-12,49.9,49.7,50.43,49.28,860416.0
2026-03-13,49.35,49.33,50.28,49.05,819833.0
2026-03-16,49.01,49.26,49.27,47.51,965272.0
2026-03-17,50.18,49.83,51.76,49.76,1850095.0
2026-03-18,49.66,49.34,49.89,48.9,861205.0
2026-03-19,48.38,48.04,48.8,47.85,918059.0
2026-03-20,48.39,48.22,49.7,48.22,1004845.0
2026-03-23,47.53,46.3,47.75,45.95,1017446.0
2026-03-24,46.8,46.34,46.94,44.57,1105607.0
2026-03-25,47.38,50.97,50.97,47.0,2608861.0
2026-03-26,51.71,50.19,51.71,49.96,2200194.0
2026-03-27,48.18,50.61,51.29,48.18,1749811.0
2026-03-30,49.8,48.76,50.0,48.1,1596406.0
2026-03-31,48.4,49.26,50.62,48.0,1671505.0
2026-04-01,50.48,50.4,51.11,49.8,1109777.0
2026-04-02,50.1,49.89,50.9,49.57,859659.0
2026-04-03,50.3,48.8,50.38,48.64,745145.0
2026-04-07,49.0,48.39,49.95,48.11,799878.0
2026-04-08,49.56,52.27,52.57,49.56,2019287.0
2026-04-09,51.5,55.09,55.78,51.3,2996031.0
2026-04-10,55.42,58.18,59.18,54.9,3868969.0
2026-04-13,57.78,58.6,59.52,57.5,2388132.0
2026-04-14,59.0,59.14,60.65,58.55,2432745.0
2026-04-15,59.0,58.78,60.98,58.45,1980038.0
2026-04-16,58.76,60.45,60.65,58.0,1996422.0
2026-04-17,59.85,59.75,60.88,59.25,1343424.0
2026-04-20,62.64,65.73,65.73,60.91,3929269.0
2026-04-21,64.86,65.75,66.0,62.9,2625733.0
2026-04-22,65.39,68.03,68.69,64.6,2366656.0
2026-04-23,69.0,67.77,70.68,67.3,2322371.0
2026-04-24,67.51,66.0,67.8,64.37,2622791.0
2026-04-27,67.98,71.97,72.6,67.5,3273500.0
2026-04-28,71.02,69.88,72.4,68.95,2159908.0
2026-04-29,68.0,68.64,69.77,66.5,2103918.0
2026-04-30,69.48,67.0,69.48,66.8,1550475.0
2026-05-06,68.27,67.08,71.0,66.87,2130544.0
2026-05-07,67.5,69.52,70.3,66.29,2141885.0
2026-05-08,68.13,71.29,72.08,67.11,2150710.0
2026-05-11,75.5,76.06,78.42,74.46,2700154.0
2026-05-12,77.39,77.19,78.78,75.5,1980246.0
2026-05-13,75.75,80.15,81.78,75.11,2263665.0
2026-05-14,79.29,75.4,79.35,75.22,2216706.0
2026-05-15,76.47,74.0,76.8,72.61,1989212.0
2026-05-18,73.08,72.9,75.11,71.67,2045112.0
2026-05-19,72.05,72.4,72.71,70.04,1430820.0
2026-05-20,72.03,70.07,72.6,69.3,1823804.0
2026-05-21,71.01,67.87,72.99,67.57,1947986.0
2026-05-22,69.5,72.4,72.88,68.9,1866377.0
2026-05-25,73.3,74.7,74.93,71.5,2152996.0
2026-05-26,73.7,72.45,73.71,71.15,1564253.0
2026-05-27,72.15,71.59,74.29,70.69,1652248.0
2026-05-28,71.23,72.8,73.35,69.32,1597158.0
2026-05-29,77.0,73.29,77.8,71.28,2676698.0
2026-06-01,73.35,70.71,75.93,70.67,2302540.0
2026-06-02,70.01,74.0,74.83,68.15,2325607.0
