date,open,close,high,low,amount
2025-12-01,113.4,114.4,114.68,112.6,32764004.0
2025-12-02,114.1,113.0,114.19,112.7,23777182.0
2025-12-03,112.8,111.62,113.69,111.13,24541359.0
2025-12-04,111.65,114.73,114.73,110.98,38755196.0
2025-12-05,114.0,114.18,114.88,112.5,35265366.0
2025-12-08,114.21,117.2,118.0,114.18,50835977.0
2025-12-09,115.58,116.32,117.9,115.51,37138445.0
2025-12-10,115.58,116.31,116.59,113.44,31571473.0
2025-12-11,116.53,113.61,117.14,113.5,30310896.0
2025-12-12,113.61,116.8,117.42,111.6,58499804.0
2025-12-15,115.15,113.01,116.5,113.0,34241746.0
2025-12-16,112.5,110.7,113.35,110.27,32337953.0
2025-12-17,110.82,113.29,113.9,110.13,34389272.0
2025-12-18,112.8,112.8,115.72,112.75,31470029.0
2025-12-19,113.2,113.63,115.48,113.0,27261250.0
2025-12-22,114.6,120.45,121.44,114.6,81011369.0
2025-12-23,120.5,119.9,121.58,119.02,48360142.0
2025-12-24,122.5,123.41,124.38,121.11,62956098.0
2025-12-25,123.0,123.08,125.99,122.66,47180958.0
2025-12-26,122.58,122.1,124.79,121.16,40239799.0
2025-12-29,123.0,122.5,125.65,122.02,50683161.0
2025-12-30,124.45,125.28,126.69,124.0,60495831.0
2025-12-31,125.99,122.83,126.2,122.4,41158685.0
2026-01-05,126.84,129.95,130.17,126.2,91139404.0
2026-01-06,129.0,131.84,134.2,128.77,73069695.0
2026-01-07,131.84,129.98,132.82,128.85,59804086.0
2026-01-08,128.95,130.15,134.68,128.91,61691881.0
2026-01-09,129.15,128.88,130.01,127.77,51127488.0
2026-01-12,128.52,127.66,129.62,126.68,56393564.0
2026-01-13,127.49,123.63,128.15,122.86,65207280.0
2026-01-14,123.51,124.49,127.6,123.5,64968391.0
2026-01-15,123.49,124.44,125.5,122.33,55660423.0
2026-01-16,127.5,126.99,128.82,124.88,75651257.0
2026-01-19,127.05,125.29,128.5,125.12,47753702.0
2026-01-20,125.0,122.18,125.5,121.81,50869359.0
2026-01-21,120.93,127.19,128.89,120.58,97052521.0
2026-01-22,128.98,126.8,130.82,125.57,64809463.0
2026-01-23,126.8,124.96,127.37,124.03,49063104.0
2026-01-26,124.01,121.92,125.88,121.9,50256650.0
2026-01-27,122.0,124.05,125.74,119.22,65526157.0
2026-01-28,124.99,128.55,128.99,124.99,99458326.0
2026-01-29,127.6,122.4,127.81,122.16,71564935.0
2026-01-30,121.33,122.97,124.94,120.07,52771906.0
2026-02-02,121.4,117.06,122.59,116.8,59669081.0
2026-02-03,118.69,116.03,118.84,113.46,56176952.0
2026-02-04,114.5,114.84,114.99,113.15,35139347.0
2026-02-05,112.99,111.8,114.5,110.39,44644765.0
2026-02-06,110.14,112.7,114.6,110.14,40822691.0
2026-02-09,114.8,114.93,115.07,113.7,32101810.0
2026-02-10,115.2,116.2,116.9,114.85,34043651.0
2026-02-11,114.0,115.01,116.14,113.5,34533673.0
2026-02-12,115.55,116.58,117.18,115.11,33362254.0
2026-02-13,116.23,116.93,117.98,115.56,34368740.0
2026-02-24,118.03,115.82,118.18,115.62,27615568.0
2026-02-25,117.0,116.13,117.5,115.85,27552856.0
2026-02-26,116.13,116.65,117.23,114.29,32702183.0
2026-02-27,115.03,115.0,115.87,114.32,27930878.0
2026-03-02,112.88,112.53,114.2,112.3,34978475.0
2026-03-03,113.23,108.31,114.75,107.69,54098700.0
2026-03-04,107.32,106.69,109.7,106.12,32274958.0
2026-03-05,108.6,106.9,109.26,106.09,35353181.0
2026-03-06,107.0,106.5,108.34,106.17,34048616.0
2026-03-09,103.97,105.14,105.79,101.63,39355967.0
2026-03-10,106.9,107.28,107.75,105.7,31832190.0
2026-03-11,107.23,107.1,108.8,107.0,27998297.0
2026-03-12,107.0,106.01,108.55,104.95,28881977.0
2026-03-13,105.02,107.06,107.83,104.5,34163326.0
2026-03-16,106.31,108.6,110.32,105.5,42255497.0
2026-03-17,108.54,106.02,108.58,105.99,29571804.0
2026-03-18,105.78,106.6,106.88,105.25,26334592.0
2026-03-19,105.01,105.96,107.69,104.51,37865595.0
2026-03-20,105.2,102.18,105.72,102.18,38129475.0
2026-03-23,100.01,98.04,101.99,97.4,50667126.0
2026-03-24,98.9,99.25,99.37,97.25,33680326.0
2026-03-25,99.67,99.99,100.94,99.28,32130643.0
2026-03-26,99.55,96.88,99.7,96.55,31319889.0
2026-03-27,96.0,97.5,98.39,95.87,28087527.0
2026-03-30,95.8,95.83,96.19,94.0,32887003.0
2026-03-31,95.8,94.05,97.4,94.0,29383903.0
2026-04-01,96.4,96.33,96.7,94.81,32564808.0
2026-04-02,95.5,93.2,95.79,92.51,29382832.0
2026-04-03,93.41,91.78,93.94,91.76,21646163.0
2026-04-07,91.5,95.62,96.99,91.2,45824231.0
2026-04-08,99.02,101.18,101.54,99.02,54469712.0
2026-04-09,99.4,99.72,101.2,99.2,31071653.0
2026-04-10,101.0,101.01,102.79,100.68,40630514.0
2026-04-13,99.85,100.64,102.8,99.72,35188522.0
2026-04-14,102.1,101.52,102.28,100.38,37091059.0
2026-04-15,102.05,103.91,106.1,101.8,70483900.0
2026-04-16,103.5,104.18,105.0,103.0,39372135.0
2026-04-17,103.82,105.23,107.3,103.27,50375527.0
2026-04-20,105.93,107.96,108.6,105.01,54770262.0
2026-04-21,107.33,107.46,108.15,105.68,37258425.0
2026-04-22,106.8,107.87,108.08,106.5,37521674.0
2026-04-23,108.88,105.98,109.12,105.2,44149101.0
2026-04-24,105.58,110.96,113.25,104.61,91070363.0
2026-04-27,113.25,116.58,117.69,112.6,97029586.0
2026-04-28,115.24,114.0,117.64,113.02,62500730.0
2026-04-29,113.35,112.47,113.82,109.78,51488254.0
2026-04-30,113.31,118.73,119.88,113.3,101838285.0
2026-05-06,122.0,123.1,128.12,121.74,129294051.0
2026-05-07,125.11,125.34,127.48,122.22,84277403.0
2026-05-08,122.9,120.31,123.19,120.05,70861810.0
2026-05-11,122.99,122.52,124.57,121.9,81485972.0
2026-05-12,124.44,121.98,125.44,120.0,81773234.0
2026-05-13,119.0,121.86,122.5,116.04,95495148.0
2026-05-14,121.92,117.9,124.04,117.0,79065015.0
2026-05-15,121.0,119.02,125.0,118.48,132810054.0
2026-05-18,117.4,117.62,120.34,115.6,74896919.0
2026-05-19,116.16,118.82,118.88,112.68,84026978.0
2026-05-20,118.0,133.81,136.63,117.5,224880056.0
2026-05-21,134.0,127.22,137.63,127.1,154677671.0
2026-05-22,129.33,131.33,132.18,126.5,119947788.0
2026-05-25,136.0,156.0,157.6,136.0,252180226.0
2026-05-26,150.73,149.18,154.44,145.5,179924241.0
2026-05-27,150.0,146.22,153.52,145.0,123498375.0
2026-05-28,146.0,153.7,159.05,146.0,160823175.0
2026-05-29,150.92,139.91,152.38,138.49,153681264.0
2026-06-01,139.76,132.44,140.8,132.04,100884914.0
2026-06-02,132.98,132.48,135.5,129.3,92368820.0
